# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  2 03:24:48 2025
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
loc_rowid,hostname,sy_snum,sy_pnum,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim
11,24 Sex,1,2,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0,2.7000,0.4000,-0.4000,0
12,2MASS J04372171+2651014,1,1,3100.00,100.00,-100.00,0,0.840000,0.110000,-0.110000,0,0.170000,0.010000,-0.020000,0,0.0100,0.0500,-0.0500,0,0.0025,0.0004,-0.0004,0
13,2MASS J01033563-5515561 A,2,1,,,,,,,,,0.190000,0.020000,-0.020000,0,,,,,0.0300,,,0
14,2MASS J01225093-2439505,1,1,3530.00,50.00,-50.00,0,0.366450,0.011155,-0.011155,0,0.400000,0.050000,-0.050000,0,,,,,0.1200,0.0100,-0.0100,0
15,2MASS J02192210-3925225,1,1,3064.00,76.00,-76.00,0,0.281000,0.013000,-0.013000,0,0.108000,0.011000,-0.011000,0,,,,,0.0350,0.0050,-0.0050,0
16,2MASS J0249-0557 A,2,1,2859.00,157.00,-157.00,0,0.315959,0.009624,-0.009624,0,0.046000,0.012000,-0.011000,0,,,,,0.0220,0.0060,-0.0060,0
17,2MASS J03590986+2009361,1,1,2943.00,157.00,-157.00,0,0.289776,0.010070,-0.010070,0,0.264996,0.020979,-0.020979,0,,,,,,,,
18,2MASS J04414489+2301513,1,1,2936.00,182.00,-182.00,0,0.231916,0.011553,-0.011553,0,0.019000,,,0,,,,,0.0010,,,0
19,2MASS J11011926-7732383,1,1,,,,,,,,,,,,,,,,,,,,
20,2MASS J11550485-7919108,1,1,3021.00,157.00,-157.00,0,0.600455,0.017923,-0.017923,0,0.588460,0.020331,-0.020331,0,,,,,,,,
21,2MASS J12073346-3932539,1,1,2825.00,157.00,-157.00,0,0.218870,0.006976,-0.006976,0,0.024000,,,0,,,,,0.0080,0.0040,-0.0030,0
22,2MASS J19383260+4603591,2,3,29564.00,,,0,0.203000,0.001000,-0.001000,0,0.480000,,,0,-0.0920,,,0,,,,
23,2MASS J21252752-8138278,1,1,3592.00,157.00,-157.00,0,0.672832,0.020973,-0.020973,0,0.643977,0.020802,-0.020802,0,,,,,,,,
24,2MASS J22362452+4751425,1,1,4045.00,35.00,-35.00,0,0.641152,0.060021,-0.062602,0,0.600000,0.050000,-0.050000,0,,,,,0.1200,0.0100,-0.0100,0
25,30 Ari B,4,1,6331.00,61.00,-61.00,0,1.410000,0.050000,-0.050000,0,1.930000,0.270000,-0.270000,0,0.1900,,,0,0.9100,0.8300,-0.8300,0
26,4 UMa,1,1,4415.00,70.00,-70.00,0,18.110000,1.470000,-1.470000,0,1.234000,0.150000,-0.150000,0,-0.2500,0.0400,-0.0400,0,4.6040,2.0000,-2.0000,0
27,47 UMa,1,3,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0,6.4800,1.4400,-1.0400,0
28,47 UMa,1,3,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0,6.4800,1.4400,-1.0400,0
29,47 UMa,1,3,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0,6.4800,1.4400,-1.0400,0
30,51 Eri,3,1,7295.00,120.09,-98.99,0,1.487260,0.045434,-0.055079,0,1.750000,0.050000,-0.050000,0,-0.0270,0.0450,-0.0450,0,0.0200,0.0060,-0.0060,0
31,51 Peg,1,1,5758.00,101.62,-119.62,0,1.175610,0.067361,-0.035328,0,1.030000,0.166699,-0.085418,0,0.1800,0.1000,-0.1000,0,10.0000,,,0
32,55 Cnc B,2,7,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,0.1600,0.1000,-0.1000,0,10.0000,,,-1
33,55 Cnc B,2,7,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,0.1600,0.1000,-0.1000,0,10.0000,,,-1
34,55 Cnc,2,7,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0,10.0000,,,-1
35,55 Cnc,2,7,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0,10.0000,,,-1
36,55 Cnc,2,7,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0,10.0000,,,-1
37,55 Cnc,2,7,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0,5.5000,2.5000,-2.5000,0
38,55 Cnc,2,7,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0,10.0000,,,-1
39,6 Lyn,1,1,4941.00,,,0,4.940000,0.550000,-0.500000,0,1.320000,0.200000,-0.210000,0,-0.1700,0.1100,-0.0700,0,2.3530,0.2110,-0.2110,0
40,61 Vir,1,3,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0,8.9600,2.7600,-3.0800,0
41,61 Vir,1,3,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0,8.9600,2.7600,-3.0800,0
42,61 Vir,1,3,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0,8.9600,2.7600,-3.0800,0
43,7 CMa,1,2,4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.340000,0.110000,-0.120000,0,0.2100,0.1000,-0.1000,0,4.3000,0.9000,-1.3000,0
44,7 CMa,1,2,4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.340000,0.110000,-0.120000,0,0.2100,0.1000,-0.1000,0,4.3000,0.9000,-1.3000,0
45,70 Vir,1,1,5495.00,,,0,1.890000,,,0,1.090000,,,0,-0.0900,0.0300,-0.0300,0,7.7700,0.5100,-0.5100,0
46,75 Cet,2,2,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.920000,0.070000,-0.080000,0,0.1000,0.0800,-0.0500,0,,,,
47,75 Cet,2,2,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.920000,0.070000,-0.080000,0,0.1000,0.0800,-0.0500,0,,,,
48,8 UMi,1,1,4847.00,7.00,-7.00,0,10.300000,0.570000,-0.570000,0,1.440000,0.190000,-0.190000,0,-0.0300,,,0,1.7000,0.2000,-0.2000,0
49,81 Cet,1,1,4734.00,,,0,11.210000,0.810000,-0.350000,0,1.230000,0.300000,-0.250000,0,-0.1100,0.1000,-0.0600,0,,,,
50,91 Aqr,3,1,4665.00,18.00,-18.00,0,11.000000,0.100000,-0.100000,0,1.400000,0.100000,-0.100000,0,-0.0300,0.1000,-0.1000,0,3.5600,0.6300,-0.6300,0
51,AB Aur,1,1,9770.00,100.00,-100.00,0,2.958870,0.096638,-0.070698,0,2.400000,0.200000,-0.200000,0,,,,,0.0030,0.0020,-0.0020,0
52,AB Pic,1,1,5285.00,10.00,-9.00,0,0.999394,0.029598,-0.022233,0,0.900000,0.100000,-0.100000,0,0.0400,0.0200,-0.0200,0,0.0300,,,0
53,AF Lep,1,1,6140.00,47.00,-47.00,0,1.250000,0.060000,-0.060000,0,1.218000,0.029000,-0.039000,0,0.1900,0.0200,-0.0200,0,0.0240,0.0030,-0.0030,0
54,AT2021ueyL,1,1,3680.00,307.00,-204.00,0,,,,,0.490000,0.160000,-0.180000,0,,,,,,,,
55,AU Mic,1,4,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,0.510000,0.028000,-0.027000,0,0.2300,0.2400,-0.3000,0,0.0201,0.0025,-0.0024,0
56,AU Mic,1,4,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,0.510000,0.028000,-0.027000,0,0.2300,0.2400,-0.3000,0,0.0201,0.0025,-0.0024,0
57,AU Mic,1,4,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,0.510000,0.028000,-0.027000,0,0.2300,0.2400,-0.3000,0,0.0201,0.0025,-0.0024,0
58,AU Mic,1,4,3665.00,31.00,-31.00,0,0.820000,0.020000,-0.020000,0,0.600000,0.040000,-0.040000,0,0.1200,0.1000,-0.1000,0,0.0185,0.0024,-0.0024,0
59,BD+03 2562,1,1,4095.00,20.00,-20.00,0,32.350000,8.820000,-8.820000,0,1.140000,0.250000,-0.250000,0,-0.7100,0.0900,-0.0900,0,5.2000,4.7500,-2.7500,0
60,BD+05 4868 A,2,1,4596.00,65.00,-64.00,0,0.690000,0.020000,-0.020000,0,0.700000,0.020000,-0.020000,0,-0.0500,0.0800,-0.0500,0,11.1000,1.7000,-3.0000,0
61,BD+14 4559,1,1,4864.00,101.00,-101.00,0,0.860000,0.040000,-0.040000,0,0.490000,0.330000,-0.330000,0,0.1700,,,0,,,,
62,BD+15 2375,1,1,4649.00,30.00,-30.00,0,8.950000,1.450000,-1.450000,0,1.080000,0.140000,-0.140000,0,-0.2200,0.0800,-0.0800,0,7.4100,3.8100,-2.5200,0
63,BD+15 2940,1,1,4796.00,117.00,-117.00,0,14.700000,2.800000,-2.800000,0,1.100000,0.200000,-0.200000,0,0.2800,0.0700,-0.0700,0,7.1000,4.2000,-4.2000,0
64,BD+20 2457,1,2,4137.00,10.00,-10.00,0,49.000000,26.000000,-26.000000,0,2.800000,1.500000,-1.500000,0,-1.0000,0.0700,-0.0700,0,,,,
65,BD+20 2457,1,2,4137.00,10.00,-10.00,0,49.000000,26.000000,-26.000000,0,2.800000,1.500000,-1.500000,0,-1.0000,0.0700,-0.0700,0,,,,
66,BD+20 274,1,1,4296.00,10.00,-10.00,0,17.300000,0.900000,-0.900000,0,0.800000,0.200000,-0.200000,0,-0.4600,0.0700,-0.0700,0,,,,
67,BD+20 594,1,1,5766.00,99.00,-99.00,0,1.080000,0.060000,-0.060000,0,1.670000,0.400000,-0.400000,0,-0.1500,,,0,3.3400,1.9500,-1.4900,0
68,BD+37 3172,1,1,4500.00,250.00,-250.00,0,50.240000,28.970000,-28.970000,0,3.750000,0.860000,-0.860000,0,-0.0300,0.1600,-0.1600,0,,,,
69,BD+42 2315,1,1,4500.00,250.00,-250.00,0,17.850000,10.010000,-10.010000,0,1.380000,0.300000,-0.300000,0,-0.2000,0.1100,-0.1100,0,,,,
70,BD+45 564,1,1,5004.00,50.00,-50.00,0,0.813064,0.041485,-0.044083,0,0.810000,0.072000,-0.072000,0,-0.0900,0.0300,-0.0300,0,,,,
71,BD+48 738,1,1,4414.00,15.00,-15.00,0,11.000000,1.000000,-1.000000,0,0.740000,0.390000,-0.390000,0,-0.2000,0.0700,-0.0700,0,,,,
72,BD+48 740,1,1,4534.00,8.00,-8.00,0,10.330000,1.810000,-1.810000,0,1.090000,0.160000,-0.160000,0,-0.1300,0.0600,-0.0600,0,,,,
73,BD+49 828,1,1,4943.00,30.00,-30.00,0,7.600000,1.300000,-1.300000,0,1.520000,0.220000,-0.220000,0,-0.1900,0.0600,-0.0600,0,2.3400,1.2000,-0.8000,0
74,BD+55 362,1,1,5012.00,78.00,-78.00,0,0.896193,0.062857,-0.042550,0,0.909000,0.099000,-0.099000,0,0.1800,0.0500,-0.0500,0,,,,
75,BD+60 1417,1,1,4993.00,124.00,-124.00,0,0.797000,0.051000,-0.051000,0,1.000000,,,0,,,,,0.1000,0.0500,-0.0500,0
76,BD+63 1405,1,1,5000.00,53.00,-53.00,0,0.804724,0.040718,-0.059493,0,0.816000,0.083000,-0.083000,0,-0.0900,0.0300,-0.0300,0,,,,
77,BD-06 1339,1,2,4324.00,100.00,-100.00,0,0.686355,0.063406,-0.074042,0,0.700000,,,0,-0.1400,0.1700,-0.1700,0,4.4000,4.0000,-4.0000,0
78,BD-06 1339,1,2,4324.00,100.00,-100.00,0,0.686355,0.063406,-0.074042,0,0.700000,,,0,-0.1400,0.1700,-0.1700,0,4.4000,4.0000,-4.0000,0
79,BD-08 2823,1,2,4816.00,114.00,-114.00,0,0.710000,0.040000,-0.040000,0,0.500000,0.260000,-0.260000,0,-0.0600,,,0,4.5000,4.0000,-4.0000,0
80,BD-08 2823,1,2,4746.00,63.00,-63.00,0,0.710000,0.040000,-0.040000,0,0.740000,0.070000,-0.070000,0,-0.0700,0.0300,-0.0300,0,4.5000,4.0000,-4.0000,0
81,BD-10 3166,1,1,5393.00,44.00,-44.00,0,0.910000,0.040000,-0.040000,0,1.470000,0.240000,-0.240000,0,0.3800,,,0,0.2500,,,0
82,BD-11 4672,1,2,4550.00,110.00,-110.00,0,0.639000,0.020000,-0.022000,0,0.651000,0.031000,-0.029000,0,-0.3500,0.1500,-0.1500,0,7.4000,4.5000,-4.9000,0
83,BD-11 4672,1,2,4550.00,110.00,-110.00,0,0.639000,0.020000,-0.022000,0,0.651000,0.031000,-0.029000,0,-0.3500,0.1500,-0.1500,0,7.4000,4.5000,-4.9000,0
84,BD-13 2130,1,1,4545.00,71.00,-71.00,0,19.170000,4.960000,-4.960000,0,2.120000,1.470000,-1.470000,0,-0.0800,,,0,0.7400,0.2000,-0.2000,0
85,BD-14 3065 A,3,1,6935.00,90.00,-90.00,0,2.350000,0.080000,-0.080000,0,1.410000,0.050000,-0.050000,0,-0.3400,0.0500,-0.0500,0,2.2400,0.2600,-0.2600,0
86,BD-17 63,1,1,4714.00,93.00,-93.00,0,0.740000,0.040000,-0.040000,0,0.741000,0.040000,-0.040000,0,-0.0300,0.0600,-0.0600,0,4.3000,4.0000,-4.0000,0
87,BD-210397,1,2,4051.00,239.00,-239.00,0,0.747000,0.088000,-0.088000,0,0.679000,0.017000,-0.017000,0,0.1200,0.1000,-0.1000,0,6.2000,4.7000,-4.7000,0
88,BD-210397,1,2,4051.00,239.00,-239.00,0,0.747000,0.088000,-0.088000,0,0.690000,0.010000,-0.010000,0,0.1200,0.1000,-0.1000,0,4.0000,9.5000,-2.8000,0
89,BEBOP-3,2,1,6033.00,100.00,-100.00,0,1.414000,0.017000,-0.017000,0,1.083000,0.026000,-0.026000,0,-0.0200,0.1000,-0.1000,0,,,,
90,BEBOP-4 A,2,1,5701.43,118.15,-118.15,0,2.756450,0.146157,-0.117763,0,1.507000,0.152000,-0.152000,0,0.2615,0.0123,-0.0123,0,,,,
91,Barnard's star,1,4,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,0.162000,0.007000,-0.007000,0,-0.5600,0.0700,-0.0700,0,,,,
92,Barnard's star,1,4,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,0.162000,0.007000,-0.007000,0,-0.5600,0.0700,-0.0700,0,,,,
93,Barnard's star,1,4,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,0.162000,0.007000,-0.007000,0,-0.5600,0.0700,-0.0700,0,,,,
94,Barnard's star,1,4,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,0.162000,0.007000,-0.007000,0,-0.5600,0.0700,-0.0700,0,,,,
95,CD Cet,1,1,3130.00,51.00,-51.00,0,0.175000,0.006000,-0.006000,0,0.161000,0.010000,-0.010000,0,0.1300,0.1600,-0.1600,0,3.0000,2.0000,-2.0000,0
96,CFBDSIR J145829+101343,1,1,580.50,24.50,-24.50,0,,,,,0.021000,0.009000,-0.009000,0,,,,,,,,
97,CFHTWIR-Oph 98 A,1,1,2320.00,40.00,-40.00,0,0.245000,0.007000,-0.008000,0,0.014700,0.000800,-0.000800,0,,,,,0.0030,,,0
98,CHXR 73,1,1,3099.00,128.00,-128.00,0,,,,,0.350000,,,0,,,,,0.0020,,,0
99,CI Tau,1,1,3807.00,131.00,-131.00,0,1.880857,0.086711,-0.415068,0,0.900000,0.020000,-0.020000,0,,,,,0.0025,0.0005,-0.0005,0
100,COCONUTS-2 A,1,1,3406.00,69.00,-69.00,0,0.388000,0.011000,-0.011000,0,0.370000,0.020000,-0.020000,0,0.0000,0.0800,-0.0800,0,0.4750,0.3250,-0.3250,0
101,CT Cha,1,1,4403.00,6.00,-10.00,0,1.679694,0.095969,-0.157166,0,,,,,-0.5600,0.0100,-0.0100,0,0.0020,0.0020,-0.0020,0
102,CoRoT-1,1,1,5950.00,150.00,-150.00,0,1.110000,0.050000,-0.050000,0,0.950000,0.150000,-0.150000,0,-0.3000,0.2500,-0.2500,0,1.6000,0.5000,-0.5000,0
103,CoRoT-10,1,1,5075.00,75.00,-75.00,0,0.790000,0.050000,-0.050000,0,0.890000,0.050000,-0.050000,0,0.2600,0.0700,-0.0700,0,3.0000,,,1
104,CoRoT-11,1,1,6440.00,120.00,-120.00,0,1.370000,0.030000,-0.030000,0,1.270000,0.050000,-0.050000,0,-0.0300,0.0800,-0.0800,0,2.0000,1.0000,-1.0000,0
105,CoRoT-12,1,1,5675.00,80.00,-80.00,0,1.116000,0.096000,-0.092000,0,1.078000,0.077000,-0.072000,0,0.1600,0.1000,-0.1000,0,6.3000,3.1000,-3.1000,0
106,CoRoT-13,1,1,5945.00,90.00,-90.00,0,1.010000,0.030000,-0.030000,0,1.090000,0.020000,-0.020000,0,0.0100,0.0700,-0.0700,0,1.6350,1.5150,-1.5150,0
107,CoRoT-14,1,1,6035.00,100.00,-100.00,0,1.210000,0.080000,-0.080000,0,1.130000,0.090000,-0.090000,0,0.0500,0.1500,-0.1500,0,4.2000,3.8000,-3.8000,0
108,CoRoT-16,1,1,5650.00,100.00,-100.00,0,1.190000,0.140000,-0.130000,0,1.098000,0.082000,-0.078000,0,0.1900,0.0600,-0.0600,0,6.7300,2.8000,-2.8000,0
109,CoRoT-17,1,1,5740.00,80.00,-80.00,0,1.590000,0.070000,-0.070000,0,1.040000,0.100000,-0.100000,0,0.0000,0.1000,-0.1000,0,10.7000,1.0000,-1.0000,0
110,CoRoT-18,1,1,5440.00,100.00,-100.00,0,1.000000,0.130000,-0.130000,0,0.950000,0.150000,-0.150000,0,-0.1000,0.1000,-0.1000,0,0.6000,0.0000,-0.6000,0
111,CoRoT-19,1,1,6090.00,70.00,-70.00,0,1.650000,0.040000,-0.040000,0,1.210000,0.050000,-0.050000,0,-0.0200,0.1000,-0.1000,0,5.0000,1.0000,-1.0000,0
112,CoRoT-2,2,1,5625.00,120.00,-120.00,0,0.906000,0.026000,-0.027000,0,0.960000,0.080000,-0.080000,0,0.0400,0.0500,-0.0500,0,2.7000,3.2000,-2.7000,0
113,CoRoT-20,1,2,5880.00,90.00,-90.00,0,1.020000,0.050000,-0.050000,0,1.140000,0.080000,-0.080000,0,0.1400,0.1200,-0.1200,0,0.1000,0.8000,-0.0400,0
114,CoRoT-20,1,2,5880.00,90.00,-90.00,0,1.020000,0.050000,-0.050000,0,1.140000,0.080000,-0.080000,0,0.1400,0.1200,-0.1200,0,0.1000,0.8000,-0.0400,0
115,CoRoT-21,1,1,6200.00,100.00,-100.00,0,1.950000,0.210000,-0.210000,0,1.290000,0.090000,-0.090000,0,0.0000,0.1000,-0.1000,0,4.1000,0.1000,-0.5000,0
116,CoRoT-22,1,1,5939.00,54.00,-120.00,0,1.136000,0.038000,-0.090000,0,1.099000,0.049000,-0.049000,0,0.1700,0.0700,-0.1200,0,3.3000,2.0000,-2.0000,0
117,CoRoT-23,1,1,5900.00,100.00,-100.00,0,1.610000,0.180000,-0.180000,0,1.140000,0.080000,-0.080000,0,0.0500,0.1000,-0.1000,0,7.2000,1.5000,-1.0000,0
118,CoRoT-24,1,2,4950.00,150.00,-150.00,0,0.860000,0.090000,-0.090000,0,0.910000,0.090000,-0.090000,0,0.3000,0.1500,-0.1500,0,11.0000,,,0
119,CoRoT-24,1,2,4950.00,150.00,-150.00,0,0.860000,0.090000,-0.090000,0,0.910000,0.090000,-0.090000,0,0.3000,0.1500,-0.1500,0,11.0000,,,0
120,CoRoT-25,1,1,6040.00,90.00,-90.00,0,1.190000,0.140000,-0.030000,0,1.090000,0.110000,-0.050000,0,-0.0100,0.1300,-0.1300,0,4.5000,1.8000,-2.0000,0
121,CoRoT-26,1,1,5590.00,100.00,-100.00,0,1.790000,0.180000,-0.090000,0,1.090000,0.060000,-0.060000,0,0.0100,0.1300,-0.1300,0,8.6000,1.8000,-0.9000,0
122,CoRoT-27,1,1,5900.00,120.00,-120.00,0,1.080000,0.180000,-0.060000,0,1.050000,0.110000,-0.110000,0,-0.1000,0.1000,-0.1000,0,4.2100,2.7200,-2.7200,0
123,CoRoT-28,1,1,5150.00,100.00,-100.00,0,1.780000,0.110000,-0.110000,0,1.010000,0.140000,-0.140000,0,0.1500,0.1000,-0.1000,0,12.0000,1.5000,-1.5000,0
124,CoRoT-29,1,1,5260.00,100.00,-100.00,0,0.900000,0.120000,-0.120000,0,0.970000,0.140000,-0.140000,0,0.2000,0.1000,-0.1000,0,4.5000,3.5000,-3.5000,0
125,CoRoT-3,1,1,6740.00,140.00,-140.00,0,1.560000,0.090000,-0.090000,0,1.370000,0.090000,-0.090000,0,0.1400,0.0400,-0.0400,0,2.2000,0.6000,-0.6000,0
126,CoRoT-30,1,1,5650.00,100.00,-100.00,0,0.910000,0.090000,-0.030000,0,0.980000,0.030000,-0.050000,0,0.0200,0.1000,-0.1000,0,3.0000,3.7000,-2.4000,0
127,CoRoT-31,1,1,5700.00,120.00,-120.00,0,2.150000,0.560000,-0.660000,0,1.250000,0.220000,-0.210000,0,0.0000,0.1000,-0.1000,0,4.7000,4.7000,-2.2000,0
128,CoRoT-32,1,1,5970.00,100.00,-100.00,0,0.790000,0.080000,-0.090000,0,1.080000,0.080000,-0.070000,0,0.0000,0.2000,-0.2000,0,,,,
129,CoRoT-35,1,1,6390.00,130.00,-130.00,0,1.650000,0.100000,-0.110000,0,1.010000,0.070000,-0.060000,0,-0.5000,0.1000,-0.1000,0,6.1000,1.3000,-1.3000,0
130,CoRoT-36,1,1,6730.00,140.00,-140.00,0,1.520000,0.200000,-0.100000,0,1.320000,0.090000,-0.090000,0,-0.1000,0.1000,-0.1000,0,2.1000,0.6000,-0.5000,0
